lemma,grammar_gloss,meaning_en,meaning_pl
bocier: bocier sie,"(v, 7)",fight,"bić się, walczyć"
bodzar,"(v, 1)",baptize,chrzcić
bohemki,(adj),Bohemian,bohemski
bojłar,"(v, 1)",carry (a burden),"dźwigać, nosić"
bolana,(f),whale,wieloryb
bomba,(f),bomb,bomba
bomba!,(intj),cool! great!,bomba!
bombardar,"(v, 1)",bomb,bombardować
bona siora,(intj),good evening!,dobry wieczór
bonanoc,(intj),good night!,dobranoc
bony,(adj),good,dobry
bor,(n),boron,bor
boszar,"(v, 2)",lower,spuszczać
boszy,(adj),low,niski
botwala,(f),battle,bitwa
bowina,(f),bovine meat,wołowina
bożan,(m),pheasant,bażant
"bów, bowie",(m),"cow, ox, bull",wół
"bracze, -ar",(f.pl.),"trousers, pants",spodnie
brak,(m),lack,brak
brakar,"(v, 1)",ontbreken,brakować
brawo,(intj),bravo!,brawo!
brawy,(adj),brave,odważny
brocz,(n),arm,ręka
brom,(n),bromine,brom
brutały,(adj),brutal,brutalny
brykieta,(f),lighter,zapalniczka
brylant,(m),brilliant,brylant
bryny,(adj),brown (light),(jasno-)brązowy
brzak,(m),drunk,pijak
brzewi,(adj),short,krótki
brzosar,"(v, 1)","push, press","pchać, naciskać"
brzoskwinia,(f),peach,brzoskwinia
brzyca,(f),drunkeness,pijaństwo
brzytańki,(adj),"British, Brithenig",brytański
buciekła,(f),bottle,butelka
buć,(f),barrel,beczka
bukiet,(m),bouquet,bukiet
buler,"(v, 5)","bubble, gurgle",bulgotać
buła,(f),ball,kula
burżuazja,(f),bourgeoisie,burżuazja
burżuj,(m),bourgeois,burżuj
buszka,(f),mouth,"usta, gęba"
but,(m),shoe,but
butoń,(f),button,guzik
"bycier, -cieru",(n),butter,masło
cany,(adj),thin,cienki
cegła,(f),brick,cegła
cel,(n),purpose,cel
celibat,(n),celibate,celibat
celtycy,(adj),Celtic,celtycki
cembartać,(f),darkness,ciemność
"cembierz, -brze",(f),dark,ciemno
cembruzy,(adj),dark,ciemny
"cemię, -tu",(n),cement,cement
centrały,(adj),central,"centralny, środkowy"
ceremonia,(f),ceremony,ceremonia
cezarz,(m),emperor,cesarz
cezarza,(f),empire,cesarstwo
cędartać,(f),tenderness,czułość
cędry,(adj),tender,delikatny
chaos,(m),chaos,chaos
chaotycy,(adj),chaotic,chaotyczny
charakter,(n),character,charakter
chemia,(f),chemistry,chemia
chemicy,(adj),chemical,chemiczny
chinieży,(adj),Chinese,chiński
chirurg,(m),surgeon,chirurg
chirurgia,(f),surgery,chirurgia
chlor,(m),chlorine,chlor
choinica,(f),Christmas tree,choinka
cholera,(f),cholera,cholera
chrom,(n),chromium,chrom
chrzyszczany,(adj),Christian,chrześcijański
chrzyszczańtać,(f),Christianity,chrześcijaństwo
ciara,(f),land,ziemia
ciast,(n),tissue,włókno
ciasta,(f),pot,"słoik, doniczka"
ciatry,(adj),ugly,brzydki
ciątera,(f),belt,"pasek, strefa"
ciąty,(adj),wet,mokry
ciążer,"(v, 7)",wet,moczyć
ciec,(n),roof,dach
ciembrarzy,(adj),"bold, daring","śmiały, zuchwały"
cienia,(f),moth,ćma
cierar,"(v, 1)",shoot,strzelać
cierzemut,(m),earthquake,trzęsienie ziemi
cierzestrzy,(adj),terrestrial,ziemski
cierzewkar,"(v, 1)",terrify,"przerazić, przestraszyć"
cierzybły,(adj),terrible,straszny
ciesier,"(v, 7)",weave,tkać
ciędzier,"(v, 7)","stretch, tighten","ściągać, napinać"
ciępeł,(n),temple,świątynia
ciępiestać,(f),weather,pogoda
ciępór,(adv),sometimes,"czasem, czasami"
ciępralemięć,(adv),temporarily,tymczasowo
ciępralnik,(m),verb,czasownik
cięprały,(adj),temporary,tymczasowy
cięprar,"(v, 1)",moderate,"miarkować, powściągać"
"ciępu, -prze",(n),time,czas
ciępu: ciępu nieparfiecy,,imperfect tense,czas przeszły
ciępu: ciępu ownięci,,future tense,czas przyszły
ciępu: ciępu parfiecy,,perfect tense,czas dokonany
ciępu: ciępu przeszęci,,present tense,czas teraźniejszy
ciępu: dzie cięprze o ciępu,(adv),from time to time,od czasu do czasu
cięt,(n),attempt,próba
cięta,(f),tent,namiot
ciętaceń,(f),temptation,pokuszenie
ciętar,"(v, 1)",try,próbować
cięza,(f),tensa (182.88 cm),"tensa (182,88 cm)"
cioła,(f),cloth,"sukno, ścierka"
ciorórz,(m),fear,strach
ciozur,(m),treasure,skarb
córa,(f),daughter,córka
cukier,(m),sugar,cukier
Cuton,(m),German,Niemiec
cutońki,(adj),German,niemiecki
cyfra,(f),"cipher, digit",cyfra
Cygan,(m),gipsy,Cygan
cygar,(m),cigar,cygaro
cygareta,(f),cigarette,papieros
cyna,(f),tin,cyna
cynamon,(m),cinnamon,cynamon
cynk,(n),zinc,cynk
cyrk,(n),circus,cyrk
cytar,"(v, 1)",quote,cytować
cytryna,(f),lemon,cytryna
czad,(m),smell of burning,czad
czad: dar czadu,"(v, irr)",rock out,dawać czadu
czał,(n),heaven,niebo
czała,(f),cell,"cela, komórka"
czarli,(adj),blue (light),niebieski
czartanamięć,(adv),certainly,pewnie
czartany,(adj),certain,"pewny, pewien"
czartańtać,(f),certainty,pewność
czączyn,(m),curl,"zwój, skręt"
czączynaty,(adj),curly,kędzierzawy
cząk,(num),five,pięć
cząkczęcieśmy,(num),five hundredth,pięćsetny
cząkczętór,(num),five hundred,pięćset
cząksprzedczy,(num),fifteen,piętnaście
cząksprzedzieśmy,(num),fifteenth,piętnasty
czecy,(adj),blind,"ślepy, niewidomy"
czedzier,"(v, irr.)",hit,"bić, uderzać"
czekolada,(f),chocolate,czekolada
czel,(n),eye-lash,rzęsa
czelebartać,(f),celebrity,słynność
czelebrar,"(v, 1)",celebrate,obchodzić (święto)
czelebrzy,(adj),famous,"sławny, słynny"
czemiętarz,(n),cemetary,cmentarz
czep,(m),"pile, pole",słup
czepła,(f),onion,cebula
czerek,(adv),around,wokół
czerek,(prep +1),around,wokół
czerekar,"(v, 1)","walk around, loiter around","wałęsać się, krążyć"
czerekśpieczer,"(v, 7)",watch from all sides,oglądać z wszystkich stron
czerekwięce,(f.pl.),surroundings,okolice
czerekwnier,(v. irr.),surround,"okrążać, otaczać"
czereśnia,(m),cherry,"czereśnia, wiśnia"
czerkieł,(n),circle,"koło, krąg"
czerwiół,(n),brain,mózg
cześć,(intj),"here is, there is",oto
częcień,(f),century,"wiek, stulecie"
częcieśmy,(num),hundredth,setny
czędrarz,(m),ashtray,popielniczka
czędzierz,(m),ash,popiół
czędzierzyca,(f),Ash Wednesday,Popielec
częt,(num),hundred,sto
czętypliczy,(adj),hundredfold,stokrotny
czkotrzyca,(f),scar,blizna
czkunia,(f),stork,bocian
czołar,"(v, 1)",hide,ukrywać
czona,(f),meal,danie
czora,(f),wax,wosk
czyń,(m),swan,łabędź
czytacan,(m),civilian,obywatel
czytacioła,(f),town,miasteczko
czytać,(f),city,miasto
czywiltać,(f),civility,uprzejmość
czywilzaceń,(f),civilisation,cywilizacja
czywilzaty,(adj),civilised,cywilizowany
czywiły,(adj),civil,uprzejmy
ćmiar,"(v, 3)",fear,bać się
ćmidy,(adj),afraid,przestraszony
ćpar,"(v, 1)","get stoned, do drugs","ćpać, naćpać"
ćpaty,(adj),stoned,naćpany
ćpuń,(m),"junkie, drug-addict","ćpun, narkoman"
daceń,(f),"food, meal, dish",danie
daciwnik,(m),dative,celownik
dacza,(f),country house,działka
dałmatki,(adj),Dalmatian,dalmatyński
damnar,"(v, 1)",damn,"potępiać, przeklinać"
daniec,(m),dance,taniec
dańcar,"(v, 1)",dance,tańczyć
dańcarz,(m),dancer,tancerz
dar,"(v, irr.)",give,dać
data,(f),date,dane
data,(n.pl.),data,dane
datórz,(m),giver,dawca
dąk,(adv),so,więc
definiar,"(v, 2)",define,określać
definiceń,(f),definition,definicja
definiciwy,(adj),definitive,definitywny
dekada,(f),decade,"dekada, dziesięciolecie"
demagog,(m),demagogue,demagog
demagogicy,(adj),demagogical,demagogiczny
demokracja,(f),democracy,demokracja
demokrata,(m),democrat,demokrata
demokratycy,(adj),democratic,demokratyczny
demon,(m),demon,demon
derabły,(adj),durable,trwały
derar,"(v, 1)",last,trwać
deręć,(prep +1),during,podczas
dery,(adj),hard,twardy
derzeca,(f),hardness,twardość
descyfrar,"(v, 1)",decipher,rozszyfrować
desfiedzar,"(v, 1)",betray,zdradzać
deskadzier,"(v, 7)",fall apart,rozpadać
deskarniar,"(v, 2)",tear into pieces (of a living being),"rozdzierać, rozrywać"
deskars,(m),speech,przemówienie
deskęblar,"(v, 2)",change (money),rozmieniać
deskofrotar,"(v, 1)","disturb, disquiet",niepokoić
deskoprzer,"(v, 5)",discover,odkrywać
desplanar,"(v, 2)",plan,rozplanować
desporar,"(v, 1)",disappear,znikać
desporłaceń,(f),conversation,rozmowa
desporłar,"(v, 1)",talk,rozmawiać
despożyceń,(f),disposition,dyspozycja
desprzeżer,"(v, 7)",disperse,rozpraszać
desprzędzier,"(v, 7)",dismount,"rozbierać, demontować"
despunier (pp. despusty),"(v, 7)","set, dispose","ustawiać, nastawiać"
despytar,"(v, 1)",quarrel,kłócić się
despytat,(n),quarrel,kłótnia
dessieskar,"(v, 1)",dry out,"wysychać, wysuszyć"
desswadziar,"(v, 4)",dissuade,odradzić
desszerzer,"(v, 7)",disconnect,rozłączać
desśpieczer sie,"(v, 7)",look around,rozglądać się
destalar,"(v, 2)",cut into pieces,"rozkroić, rozcinać"
destat,(n),crossroads,"rozdroże, rozstaje"
destęca,(f),distance,odległość
destrar,(v. irr.),"expand, stretch",rozciągać
destrzenier (1. destrzonu),"(v, 7)","observe, perceive","obserwować, postrzegać"
detalaty,(adj),detailed,wyszczególniony
detał,(n),detail,szczegół
dewiza,(f),motto,dewiza
dezdar,"(v, irr.)","distribute, give away",rozdawać
dezjarmar,"(v, 1)",disarm,rozbrajać
dezjeniaty,(adj),soulless,bezduszny
dezjer sie,"(v, irr.)","part, separate",rozchodzić się
dezlegar,"(v, 1)",untie,rozwiązywać
dezmiecier,"(v, irr.)","send out, distribute",rozsylać
dezmięcier,"(v, 5)",refute,zaprzeczać
dezobtyjer,"(v, 7)",disaccustom,"odzwyczajać, odwykać"
dezorientar,"(v, 1)","disorientate, confuse",dezorientować
dezrąpier,"(v, 7)",break into pieces,"rozwalać, rozbić"
dezrodzień,(f),"disorder, mess","nieład, nieporządek"
dezrur,(v. irr.),"kill, destroy (in a car accident)",rozjechać
dezrzyziewkar,(f),make laugh,rozśmieszać
dezwołytar,"(v, 1)",develop,rozwijać
dezwółgar,"(v, 1)","disperse, disseminate",rozpowszechniać
diagonały,(adj),diagonal,ukośny
dialekt,(n),dialect,dialekt
dialog,(m),dialogue,dialog
diareja,(f),diarrhoea,"rozwolnienie, biegunka"
dłuctydzień,(f),sweetness,słodkość
dłuczeń,(f),candy,słodycz
dłuczy,(adj),sweet,słodki
dmółt,(m),uproar,"zamęt, hałas"
dmółtuzy,(adj),tumultuous,hałaśliwy
docórz,(m),teacher,nauczyciel
docy,(adj),learned,uczony
doczar,"(v, 3)",teach,uczyć
doczar: doczar sie,,learn,uczyć się
"dokumię, -tu",(n),document,dokument
dolar,(m),dollar,dolar
dolar,"(v, 3)","hurt, ache",boleć
dołórz,(m),pain,ból
dom,(m),house,dom
domar,"(v, 1)",tame,oswajać
domieniek,(m),Sunday,niedziela
domieski,(adj),domestic,domowy
don,(m),"lord, mister; you (polite form)",pan
don: don jewni,(m),bridegroom,pan młody
dona,(f),"lady, Mrs., you (polite)",pani
donat,(m),"you (polite form, pl.)",państwo
donica,(f),miss,panna
donica: donica jewnia,(f),bride,panna młoda
dotar,"(v, 1)",endow,obdarzać
doza,(f),dosis,"dawka, doza"
drakuń,(m),dragon,smok
dromier,"(v, 5)",sleep,spać
dromofol,(m),sleeping bag,śpiwór
drop,(n),sheet,prześcieradło
dros,(n),back,plecy
drosarz,(m),backpack,plecak
drzec,(adv),directly,bezpośrednio
drzec,(m),right,prawo
drzecy,(adj),straight,bezpośredni
ducz,(m),leader,"lider, wódz"
duczęcieśmy,(num),two hundredth,dwusetny
duczęta,(num),two hundred,dwieście
dun,(n),gift,dar
dupiełkar,"(v, 1)",double,podwajać
dupły,(num),double,podwójny
dutabły,(adj),"doubtful, dubious",wątpliwy
dutaceń,(f),doubt,wątpliwość
dutar,"(v, 1)",doubt,wątpić
"dwu, dwie, dwa",(num),two,dwa
dwusprzedczy,(num),twelve,dwanaście
dwusprzedzieśmy,(num),twelfth,dwunasty
dyczer,"(v, 7)",lead,prowadzić
dyplomata,(m),diplomate,dyplomata
dyrektórz,(m),director,dyrektor
dyrektrycz,(f),director (f),dyrektorka
dyskuszeń,(f),discussion,dyskusja
dyskutar,"(v, 1)",discuss (intr.),dyskutować
"dyszczypeł, -płu",(m),disciple,uczeń
dywiżeń,(f),division,dywizja
dzarnu,(adv),tomorrow,jutro
dzata,(f),pavillion,pawilon
dzecz,(num),ten,dziesięć
dzeczeń,(f),decade,"dekada, dziesięciolecie"
dzeczmy,(num),tenth,dziesiąty
dzej,(m),day,dzień
dzej: dzej bony!,(intj),good day!,dzień dobry
dzejarz,(m),diary,dziennik
dziabeł,(m),devil,diabeł
dziabolicy,(adj),diabolical,diabelski
dziconarz,(m),dictionary,słownik
dziczer,"(v, 7)",say,mówić
dzie,(prep +2),"about, from",o
dzie: dzie łągu,(adv),"for a long time, since long ago",od dawna
dzie: dzie nowu,(adv),again,znowu
dzie: dzie wiecze,(adv),immediately,od razu
dzieczębierz,(m),December,grudzień
dzieczołar,"(v, 1)",discover,odkrywać
dzieczydamięć,(adv),definitely,zdecydowanie
dzieczydar,"(v, 1)",decide,decydować
dzieczyżeń,(f),decision,dezycja
dziedar,"(v, irr.)",give away,oddawać
dziedyczer,"(v, 7)",bring away,odprowadzić
dziedzikar,"(v, 1)",dedicate,poświęcać
dziedzikaty,(adj),dedicated,poświęcony
dziefiec,(n),defect,defekt
dziefięca,(f),defence,obrona
dziefiędzier,"(v, 7)",defend,bronić
dzieframar,"(v, 1)",slander,rzucać oszczerstwa
dziefucier sie,"(v, 7)",fuck off,odpierdolić się
dziegraczłar,"(v, 1)","become lean, lose weight",chudnąć
dziegrad,(m),degree,stopień
dzieja,(f),goddess,bogini
dziejecar,"(v, 2)","give up, throw away",wyrzucać
dziejer,"(v, irr.)","leave, go away",odchodzić
dziekadzier,"(v, 7)",fall down,"odpadać, opadać"
dziekan,(m),deacon,dekan
dziekłaraceń,(f),declaration,deklaracja
dziekłarar,"(v, 1)",declare,deklarować
dziekołorar,"(v, 1)",discolour,odbarwiać
dziekoprzer,"(v, 5)",uncover,odsłaniać
dziekółkar (ów),"(v, 1)",lay (egg),znosić (jajko)
dzielar,"(v, 2)",destroy,niszczyć
dzielczuzy,(adj),delicious,"pyszny, smaczny"
dzielęc,(conj),since,odkąd
dzielkaty,(adj),delicate,delikatny
dziełasar,"(v, 1)",let go,odpuszczać
dziełonięcar,"(v, 2)","remove, enlarge a distance",oddalać
dzieman,(adv),"morning, in the -",rano
dzieman,(m),morning,rano
dziemaniu,(adv),earlier,wcześniej
dziemany,(adj),early,"poranny, wczesny"
dziemąstrar,"(v, 1)",show,pokazywać
dziemędar,"(v, 1)",commend,zlecać
dziemiecier,"(v, irr.)",forgive,wybaczyć
dziemięca,(f),stupidity,szaleństwo
dziemięci,(adj),stupid,szalony
dziemięcier,"(v, 5)","insane, be/go",szaleć
dziemiozar,"(v, 1)",measure,odmierzać
dziemnier,"(v, 7)",diminish,zmniejszyć
dzienarz,(m),"penny, denarius",denariusz
dzieożdar,"(v, 1)",shake off,strząsać
dzieparcier,"(v, 5)",divide,podzielić
"dziepartamię, -tu",(n),department,departament
dziepiędziar,"(v, 4)",depend,zależeć
dziepiędzięci,(adj),dependent,zależny
dziepłążer,"(v, 7)",regret,żałować
dzieprawar,"(v, 1)",spoil,zepsuć
dzieprotar,"(v, 1)",remove,usuwać
dzieprotar: dzieprotar sie,"(v, 1)","go away, get the hell out of here",wynosić się
dzieprzekar,"(v, 1)",curse,klnąć
dzieprzędzier,"(v, 7)",take away,odbierać
dziepunier (pp. dziepusty),"(v, 7)",put down,"kłaść, położyć"
dzierąpier,"(v, 7)",break off,odłamać
dzierur,"(v, irr.)",leave,"odjechać, wyjechać"
dzierzecar,"(v, 2)",direct,kierować
dzierzeceń,(f),direction,kierunek
dzieskrzypceń,(f),description,opis
dzieskrzywier (perf. -skrzypszy),"(v, 7)",describe,opisywać
dziestacier,"(v, 7)","leave, leave behind",zostawiać
dziestryjer,"(v, 7)",destruct,"demontować, demolować"
dzieszczędzier,"(v, 7)",descend,"schodzić, zejść"
dzieszedziar (perf. dziesiódszy),"(v, 4)",get out (of a vehicle),wysiadać
dzieszek,(m),disk,dysk
"dzieszyderz, -drze",(n),desire,pragnienie
dzieszydrar,"(v, 1)",desire,pragnąć
dzieszyniar,"(v, 2)",draw,rysować
dzieszyń,(n),drawing,rysunek
dzieścinaceń,(f),destination,przeznaczenie
dzieścinar,"(v, 1)",destine,przeznaczać
dzieśpiec,(m),looks,wygląd
dzieśpieczer,"(v, 7)",look,wyglądać
dzieśpiekłar,"(v, 1)","reflex, mirror",odzwierciedlać
dzieśpioraceń,(f),despair,rozpacz
dzieśpiorar,"(v, 1)",despair,rozpaczyć
dzieśrewar,"(v, 1)",deserve,zasługiwać
dzietniar,(v. irr.),"detain, keep in custody, arrest","zatrzymywać, aresztować"
dzietrar,(v. irr.),pull off,odciągać
dzietrękar,"(v, 1)",cut off,odkroić
dzietrowiar sie (jelkoju),"(v, 1)","rid, get - of",pozbywać się
"dziew, dzieju",(m),god,bóg
dziewęć,(prep +2),from,od
dziewieścier,"(v, 5)",take off,zdejmować
Dziewina Nociewtać,(f),Christmas,Boże Narodzenie
dziewiny,(adj),divine,boski
dziewłyjer,"(v, 7)","float away, drift away",odpływać
dziewłyjęca,(f),ebb,odpływ
dziewniastrar,"(v, 1)",sack,"zwalniać, wyrzucać z pracy"
dziewnier,"(v, irr.)",become,stać się
dziewołar,"(v, 1)",fly away,odlecieć
dziewołytar,"(v, 1)",roll out,"zwijać, rozkręcać"
dzieworar,"(v, 1)",devour,pożerać
dziewostar,"(v, 1)",devastate,"pustoszyć, dewastować"
dziewrzekar,"(v, 1)",wipe off,"ścierać, zmiatać"
dziewt,(n),debt,dług
dziewtórz,(m),debtor,dłużnik
dzieżd,(m),finger,palec
dzięcista,(m),dentist,dentysta
dzięć,(m),tooth,ząb
dzięć: dzięć kaniny,,canine tooth,kieł
dzifrar sie,"(v, 1)",differ,różnić się
dzifręca,(f),difference,różnica
dzifręci,(adj),diverse,różny
dzilec,(m),choice,wybór
dzilecy,(adj),"favourite, beloved",ulubiony
dzileżer,"(v, 7)",choose,wybierać
dzimiedza,(f),half,połowa
dzimiedzonu (indecl.),(m),half a year,półrocze
dzimiedzy,(adj),half,pół
dzini,(adj),worthy,godny
dzińtać,(f),dignity,godność
dziostry,(adj),right,prawy
dziozy,(adj),thick,gruby
dziura,(f),hole,dziura
dziwczyltać,(f),difficulty,trudność
dziwczyły,(adj),difficult,trudny
dzwon,(m),bell,dzwon
dzwonier,"(v, 5)",ring,dzwonić
dźwiar,"(v, irr.)","must, have to",musieć
dżem,(m),jam,dżem
dżungla,(f),jungle,dżungla
echo,(n),echo,echo
egoiski,(adj),egoistic,egoistyczny
egoista,(m),egoist,egoista
egoizm,(m),egoism,egoizm
egzamin,(m),exam,egzamin
egzekuceń,(f),execution,egzekucja
egzekutar,"(v, 1)",execute,egzekutować
ej!,(intj),hey!,hej!
ekonomia,(f),economy,gospodarka
ekonomicy,(adj),economic,gospodarczy
ekran,(m),screen,ekran
ekscelęca,(f),excellency,ekscelencja
"eksperymię, -tu",(n),experiment,eksperyment
eksperymiętały,(adj),experimental,eksperymentalny
eksperymiętar,"(v, 1)",experiment,eksperymentować
ekwiwalęć,(m),equivalent,odpowiednik
elastycy,(adj),elastic,elastyczny
eleganty,(adj),elegant,elegantny
elektronicy,(adj),electronic,elektroniczny
elektronika,(f),electronics,elektronika
elektryctać,(f),electricity,elektryczność
elektrycy,(adj),electric,elektryczny
"elemię, -tu",(n),element,pierwiastek
elemiętarzy,(adj),elementary,elementarny
elf,(m),elf,elf
embroczaceń,(f),embracing,objęcie
embroczar,"(v, 2)",embrace,obejmować
emoceń,(f),emotion,emocja
emoconały,(adj),emotional,emocjonalny
empakar,"(v, 1)",wrap,wpakować
empięzar sie,"(v, 1)",ponder,"zamyślać się, zastanawiać się"
emplec,(m),job,etat
emplekar,"(v, 1)",employ,zatrudnić
emplenie,(adv),completely,"wcale, całkowicie"
emprąkar,"(v, 1)",tend,skłaniać się
emprotar,"(v, 1)",carry in; concern,wnosić; obchodzić
emprzeszeń,(f),impression,wrażenie
emprzeżeniar,"(v, 2)",imprison,uwięzić
empunier (pp. empusty),"(v, 7)",put in,wsadzać
empycar,"(v, 2)",piss of,wkurwiać
en,(prep +1),into,w
en,(prep +2),in,w
en: en finie,(adv),after all,w końcu
en: en kazu kód,(conj),in case that,"w razie, w przypadku że"
en: en kąt,(conj),in so far,o ile
en: en koperacenie ku,(prep),compared to,w porównaniu do/z
en: en rodnie!,(intj),okay!,w porządku!
en: en rucie,(adv),on one's way,na drodze
en: en troce,(prep),during,w trakcie
encięceń,(f),intention,zamiar
enciędzier,"(v, 7)",intend,zamierzać
encyklopedia,(f),encyclopedia,encyklopedia
enczerekłar,"(v, 1)",surround,okrążyć
enczydzier,"(v, 7)",carve,ryć
endromier sie,"(v, 5)",sleep in,"zasypiać, usnąć"
endyczer,"(v, 7)","lead in, bring in",wprowadzać
enfidyczar,"(v, 2)",trust,ufać
enfrotar,"(v, 1)",encourage,zachęcać
engradzier kijkąk en ruta,"(v, 7)",cross somebody's way,wchodzić komuś w drogę
engrawtaty,(adj),pregnant,w ciąży
engrawtęca,(f),pregnancy,ciąża
enhałar,"(v, 1)",inhale,wdychać
enjąd,(n),entry,wstęp
enjemar sie en,"(v, 1)",fall in love with,zakochać się w
enjematy,(adj),in love,zakochany
enjemęca,(f),"love, being in ~",zakochanie
enjer,"(v, irr.)","enter, go in","wchodzić, wejść"
enjewtar,"(v, 1)",inhabit,zamieszkiwać
