lemma,grammar_gloss,meaning_en,meaning_pl,source,universe,etymology_languages,etymology_words,example_wen,example_wen_source,info
imażnaceń,f,imagination,"wyobraźnia, wyobrażenie",dictionary_steenbergen,any,latin_learned,imaginationem,,,
introdyceń,f,introduction,wprowadzenie,dictionary_steenbergen,any,latin_learned,introductionem,,,
irytaceń,f,irritation,irytacja,dictionary_steenbergen,any,latin_learned,irritationem,,,
jagierzkultura,f. I,agriculture,rolnictwo,dictionary_steenbergen,any,"latin_inherited, latin_learned",,,,
jarcista,m. I,artist,artysta,dictionary_steenbergen,any,latin_inherited,artistam,,,
jeleceń,f,election,wybór,dictionary_steenbergen,any,latin_inherited,electionem,,,
jeszczepceń,f,exception,wyjątek,dictionary_steenbergen,any,latin_inherited,exceptionem,,,
judkaceń,f,jurisdiction,jurysdykcja,dictionary_steenbergen,any,latin,iudicationem,,,
kardiolog,m,cardiologist,kardiolog,dictionary_steenbergen,any,latin_learned,cardiologum,,,
katolicyzm,m,Catholicism,katolicyzm,dictionary_steenbergen,any,latin_learned,catholicismum,,,
klinika,f. I,clinic,klinika,dictionary_steenbergen,any,latin_learned,clinicam,,,
koaliceń,f,coalition,koalicja,dictionary_steenbergen,any,latin_learned,coalitionem,,,
kofierzmaceń,f,confirmation,potwierdzenie,dictionary_steenbergen,any,latin_inherited,confirmationem,,,
kołaceń,f,dinner,kolacja,dictionary_steenbergen,any,latin_inherited,collationem,,,
konfederaceń,f,confederation,konfederacja,dictionary_steenbergen,any,latin_learned,confoederationem,,,
konfrontaceń,f,confrontation,konfrontacja,dictionary_steenbergen,any,latin_learned,confrontationem,,,
konserwacista,m. I,conservative,konserwatysta,dictionary_steenbergen,any,latin_learned,conservatistam,,,
kombinaceń,f,combination,kombinacja,dictionary_steenbergen,any,latin_learned,combinationem,,,
imitar,"v, 1",imitate,imitować,dictionary_steenbergen,any,latin,imitare,,,
informaceń,f,information,informacja,dictionary_steenbergen,any,latin_learned,informationem,,,
inspirar,"v, 1",inspire,inspirować,dictionary_steenbergen,any,latin_learned,inspirare,,,
instytuceń,f,institution,instytucja,dictionary_steenbergen,any,latin_learned,institutionem,,,
inteliżęca,f. I,intelligence,inteligencja,dictionary_steenbergen,any,latin_learned,intelligentiam,,,
inteliżęci,adj,intelligent,inteligentny,dictionary_steenbergen,any,latin_learned,intelligentem + is,,,
interes,m,"cause, interest",interes,dictionary_steenbergen,any,latin_learned,interesse,,,
interesar,"v, 1",interest,interesować,dictionary_steenbergen,any,latin_learned,interessare,,,
interesęci,adj,interesting,interesujący,dictionary_steenbergen,any,latin_learned,interessantem + is,,,
łaciny,adj,Latin,łaciński,dictionary_steenbergen,any,latin_inherited,latinum + is,,,
łokały,adj,local,miejscowy,dictionary_steenbergen,any,latin_inherited,localem + is,,,
łokar,"v, 1",place,mieścić,dictionary_steenbergen,any,latin_inherited,locare,,,
pedagogicy,adj,pedagogical,pedagogiczny,dictionary_steenbergen,any,latin_learned,paedagogicum + is,,,
pornograficy,adj,pornographic,pornograficzny,dictionary_steenbergen,any,latin_learned,pornographicum + is,,,
probar,"v, 1","inspect, examine","doglądać, dozorować",dictionary_steenbergen,any,latin,probare,,,
probaceń,f,"inspection, examination","inspekcja, dozór",dictionary_steenbergen,any,latin,probationem,,,
probabieltać,f,probability,prawdopodobieństwo,dictionary_steenbergen,any,latin_learned,probabilitatem,,,
probablemięć,adv,probably,prawdopodobny,dictionary_steenbergen,any,latin_learned,probabilem + mente,,,
problem,m,problem,problem,dictionary_steenbergen,any,latin_learned,problema,,,
senatórz,m,senator,senator,dictionary_steenbergen,any,latin_learned,senatorem,,,
talentaty,adj,talented,utalentowany,dictionary_steenbergen,any,latin_learned,talentatum + is,,,
teledysk,m,video clip,teledysk,dictionary_steenbergen,any,latin_learned,tele- + discum,,,
telefon,n,telephone,telefon,dictionary_steenbergen,any,latin_learned,telephonum,,,
telefonar,"v, 1",phone,telefonować,dictionary_steenbergen,any,latin_learned,telephonare,,,
telekomunikaceń,f,telecommunication,telekomunikacja,dictionary_steenbergen,any,latin_learned,telecommunicationem,,,
tragicy,adj,tragic,tragiczny,dictionary_steenbergen,any,latin_learned,tragicum + is,,,
szarmęci,adj,charming,uroczy,dictionary_steenbergen,any,french,charmant,,,
szok,m,shock,szok,dictionary_steenbergen,any,english,shock,,,
organizaceń,f,organisation,organizacja,dictionary_steenbergen,any,latin_learned,organizationem,,,
organ,m,organ,organ,dictionary_steenbergen,any,latin_learned,organum,,,
organie,m. pl.,organ,organy,dictionary_steenbergen,any,latin_learned,*organe,,,
orzętały,adj,eastern,wschodni,dictionary_steenbergen,any,latin_learned,orientalem + is,,,
lęgwista,m. I,linguist,językoznawca,dictionary_steenbergen,any,latin_learned,linguistam,,,
lęgwistycy,adj,linguistic,lingistyczny,dictionary_steenbergen,any,latin_learned,linguisticum + is,,,
czywiltać,f,civility,uprzejmość,dictionary_steenbergen,any,latin_inherited,civilitatem,,,
czywilzaceń,f,civilisation,cywilizacja,dictionary_steenbergen,any,latin_inherited,civilizationem,,,
czywilzaty,adj,civilised,cywilizowany,dictionary_steenbergen,any,latin_inherited,civilizatum + is,,,
dłuctydzień,f,sweetness,słodkość,dictionary_steenbergen,any,latin_inherited,dulcitudinem,,,
dłuczeń,f,candy,słodycz,dictionary_steenbergen,any,latin_inherited,dulcem + -onem,,,
czętypliczy,adj,hundredfold,stokrotny,dictionary_steenbergen,any,latin_inherited,centuplicem + is,,,
dmółtuzy,adj,tumultuous,hałaśliwy,dictionary_steenbergen,any,latin_inherited,tumultuosum + is,,,
gratłar,"v, 1",thank,dziękować,dictionary_steenbergen,any,latin_inherited,gratulare,,,
gratłęć,prep +3,thanks to,dzięki,dictionary_steenbergen,any,latin_inherited,gratulante,,,
grawtać,f,gravity,"ciężkość, przyciąganie ziemskie",dictionary_steenbergen,any,latin_inherited,gravitatem,,,
frocar,"v, 2",force,zmuszać,dictionary_steenbergen,any,latin_inherited,fortiare,,,
gracuzy,adj,gracious,powabny,dictionary_steenbergen,any,latin_inherited,gratiosum + is,,,
graczyły,adj,meager,chudy,dictionary_steenbergen,any,latin_inherited,gracilem + is,,,
jałtry,adj,other,inny,dictionary_steenbergen,any,latin_inherited,alterum + is,,,
jałtydzień,f,height,wysokość,dictionary_steenbergen,any,latin_inherited,altitudinem,,,
jekwilibra,f. I,balance,równowaga,dictionary_steenbergen,any,latin_inherited,aequilibram,,,
karta,f. I,card,karta,dictionary_steenbergen,any,latin,chartam,,,
kartać,f,expensiveness,kosztowność,dictionary_steenbergen,any,latin_inherited,caritatem,,,
karwar,"v, 1","bow, bend",krzywić,dictionary_steenbergen,any,latin_inherited,curvare,,,
kuzar,"v, 1",cause,powodować,dictionary_steenbergen,any,latin_inherited,causare,,,
kanalizaceń,f,sewers,kanalizacja,dictionary_steenbergen,any,latin_learned,canalizationem,,,
kocidzan,adv,daily,codziennie,dictionary_steenbergen,any,latin_inherited,cotidiane,,,
kocięwaceń,f,continuation,przedłużenie,dictionary_steenbergen,any,latin_inherited,continuationem,,,
kocięwu,adv,continuously,ciągle,dictionary_steenbergen,any,latin_inherited,continue,,,
kołuniały,adj,colonial,kolonialny,dictionary_steenbergen,any,latin_inherited,colonialem + is,,,
kwart,m,quarter,ćwierć,dictionary_steenbergen,any,latin,quartum,,,
kwartał,m,quarter of a year,kwartał,dictionary_steenbergen,any,latin,quartalem,,,
kwiaty,adj,quiet,spokojny,dictionary_steenbergen,any,latin_inherited,quietum + is,,,
dzięcista,m. I,dentist,dentysta,dictionary_steenbergen,any,latin_inherited,dentistam,,,
łoniąc,adv,far away,daleko,dictionary_steenbergen,any,latin_inherited,longuinque,,,
łonierzy,adj,further (comparative of łonięcy),dalszy,dictionary_steenbergen,any,latin_inherited,longiorem + is,,,
łonięcy,adj,far,daleki,dictionary_steenbergen,any,latin_inherited,longinquum + is,,,
łoniu,adv,further,dalej,dictionary_steenbergen,any,latin_inherited,longius,,,
"marz, -e",n,sea,morze,dictionary_steenbergen,any,latin_inherited,mare,,,
motyw,n,motive,"motyw, bodziec",dictionary_steenbergen,any,latin_learned,motivum,,,
mółci,adv,many,wielu,dictionary_steenbergen,any,latin_inherited,multi,,,"usage? like ""liczny"" vs. mółt"
mierzydzany,adj,southern,południowy,dictionary_steenbergen,any,latin_inherited,meridionalem + is,,,
mierzyt,n,merit,zasługa,dictionary_steenbergen,any,latin_inherited,meritum,,,
łągidy,adj,lazy,leniwy,dictionary_steenbergen,any,latin_inherited,languidem + is,,,
łągieśmy,adj,longest (superlative of łągi),najdłuższy,dictionary_steenbergen,any,latin_inherited,longissimum + is,,,
ośpiecaceń,f,expectation,oczekiwanie,dictionary_steenbergen,any,latin_inherited,expectationem,,,
ośpiecar,"v, 1",expect,oczekiwać,dictionary_steenbergen,any,latin_inherited,expectare,,,
ośpieczer,"v, 7","watch, look at","oglądać, przyglądać się",dictionary_steenbergen,any,latin_inherited,adspicere,,,
ośpieć,m,guest,gość,dictionary_steenbergen,any,latin_inherited,hospitem,,,
prota,f. I,gate,brama,dictionary_steenbergen,any,latin_inherited,portam,,,
protar,prep +1,because of,z powodu,dictionary_steenbergen,any,latin_inherited,portare,,,
protest,n,protest,protest,dictionary_steenbergen,any,german,Protest,,,
szpuzały,adj,matrimonial,małżeński,dictionary_steenbergen,any,latin_inherited,sponsalem + is,,,
szpuzar,"v, 1",marry,poślubić,dictionary_steenbergen,any,latin_inherited,sponsare,,,
siarar,"v, 1",saw,piłować,dictionary_steenbergen,any,latin_inherited,serrare,,,
stabeł,n,stable,stajnia,dictionary_steenbergen,any,latin_inherited,stabulum,,,
stabler,"v, 5","establish, settle",ustalić,dictionary_steenbergen,any,latin_inherited,stabilire,,,
stabły,adj,stable,stabilny,dictionary_steenbergen,any,latin_inherited,stabilem + is,,,
stacier,"v, 7",put (in an upward position),stawić,dictionary_steenbergen,any,latin_inherited,statuere,,,
starn,m,starling,szpak,dictionary_steenbergen,any,latin_inherited,sturnum,,,
stat,m,state,"stan, państwo",dictionary_steenbergen,any,latin_learned,statum,,,
statarzy,adj,state,państwowy,dictionary_steenbergen,any,latin,statarium + is,,,
statycy,adj,static,statyczny,dictionary_steenbergen,any,latin_learned,staticum + is,,,
strat,m,"street, pavement",bruk,dictionary_steenbergen,any,,,,,
strarodnarzy,adj,extraordinary,niezwykły,dictionary_steenbergen,any,latin_inherited,extraordinarium + is,,,
traziceń,f,transition,przejście,dictionary_steenbergen,any,latin_inherited,transitionem,,,
trazmędar,"v, 1",pass over,przekazywać,dictionary_steenbergen,any,latin_inherited,transmandare,,,
trazmiecier,"v, irr.","transmit, broadcast","rozgłaszać, transmitować",dictionary_steenbergen,any,latin_inherited,transmittere,,,
trazmieżeń,f,"transmission, broadcast",transmisja,dictionary_steenbergen,any,latin_inherited,transmissionem,,,
szejsprzedczy,num,sixteen,szesnaście,dictionary_steenbergen,any,,,,,
szejsprzedzieśmy,num,sixteenth,szesnasty,dictionary_steenbergen,any,,,,,
szejczęcieśmy,num,six hundredth,sześćsetny,dictionary_steenbergen,any,latin_inherited,sexcentesimum + is,,,
trzeczęcieśmy,num,three hundredth,trzysetny,dictionary_steenbergen,any,latin_inherited,trecentesimum + is,,,
trzeczęta,num,three hundred,trzysta,dictionary_steenbergen,any,latin_inherited,trecenta,,,
trzesprzedczy,num,thirteen,trzynaście,dictionary_steenbergen,any,,,,,
kotryczęcieśmy,num,four hundredth,czterechsetny,dictionary_steenbergen,any,latin_inherited,quadringentesimum + is,,,
kotryczęta,num,four hundred,czterysta,dictionary_steenbergen,any,latin_inherited,quadringenta,,,
kotrysprzedczy,num,fourteen,czternaście,dictionary_steenbergen,any,,,,,
kotrysprzedzieśmy,num,fourteenth,czternasty,dictionary_steenbergen,any,,,,,
kotrzybytar,"v, 1",contribute,mieć wkład,dictionary_steenbergen,any,latin_learned,contribuere,,,
duczęcieśmy,num,two hundredth,dwusetny,dictionary_steenbergen,any,latin_inherited,ducentesimum + is,,,
duczęta,num,two hundred,dwieście,dictionary_steenbergen,any,latin_inherited,ducenta,,,
kwiąkwaśmy,num,fiftieth,pięćdziesiąty,dictionary_steenbergen,any,latin_inherited,quinquagesimum + is,,,
kwiąkwięta,num,fifty,pięćdziesiąt,dictionary_steenbergen,any,latin_inherited,quinquaginta,,,
tardzu,adv,later,później,dictionary_steenbergen,any,latin_inherited,tardius,,,
trzesprzedzieśmy,num,thirteenth,trzynasty,dictionary_steenbergen,any,,,,,
trzęta,num,thirty,trzydzięsci,dictionary_steenbergen,any,latin_inherited,triginta,,,
trzyjaśmy,num,thirtieth,trzydziesty,dictionary_steenbergen,any,latin_inherited,trigesimum + is,,,
pieszkatórz,m,fisher,rybak,dictionary_steenbergen,any,latin_inherited,piscatorem,,,
"pies, psu",m,pea,groch,dictionary_steenbergen,any,latin_inherited,pisum,,,
spłudar,"v, 1",explode,"wybuchać, eksplodować",dictionary_steenbergen,any,latin_inherited,explodere,,,
spłurar,"v, 1",explore,"badać, eksplorować",dictionary_steenbergen,any,latin_inherited,explorare,,,
spłuratórz,m,explorer,"badacz, eksplorator",dictionary_steenbergen,any,latin_inherited,exploratorem,,,
trzebdar,"v, 1",fear,bać się,dictionary_steenbergen,any,latin_inherited,trepidare,,,
tron,m,throne,tron,dictionary_steenbergen,any,latin_learned,thronum,,,
szkale,f. pl.,stairs,schody,dictionary_steenbergen,any,latin_inherited,scalae,,,
śrewier,"v, 5",serve,służyć,dictionary_steenbergen,any,latin_inherited,servire,,,
ślęca,f. I,silence,cisza,dictionary_steenbergen,any,latin_inherited,silentium + -am,,,
srodzier,"v, 5",make dirty,"brudzić, śmiecić",dictionary_steenbergen,any,latin_inherited,sordire,,,
kunieszczer (pp. kunity),"v, 8","know (somebody, language, etc.)",znać,dictionary_steenbergen,any,latin_inherited,cognoscere,,,
kunieszczęca,f. I,knowledge,wiedza,dictionary_steenbergen,any,latin_inherited,*cognoscentiam,,,
płąbik,m,pencil,ołówek,dictionary_steenbergen,any,latin_inherited,plumbium,,,
"płętażeń, -żnie",f,plantain,babka (roślina),dictionary_steenbergen,any,latin_inherited,plumbum + -icum,,,zdrobnienie
rodnar,"v, 1",furnish,"meblować, uporządkować",dictionary_steenbergen,any,latin_inherited,ordinare,,,
rodnarzy,adj,"normal, ordinary",zwykły,dictionary_steenbergen,any,latin_inherited,ordinarium + is,,,
